nome,artista,idioma,letra
The Unforgiven,Metallica,Inglês,"Música: The Unforgiven
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

New blood joins this earth and quickly he's subdued
Through constant pained disgrace
The young boy learns their rules
With time, the child draws in
This whipping boy done wrong
Deprived of all his thoughts
The young man struggles on and on, he's known
Ooh, a vow onto his own, that never from this day
His will they'll take away, yeah

What I've felt, what I've known
Never shined through in what I've shown
Never be, never see
Won't see what might have been
What I've felt, what I've known
Never shined through in what I've shown
Never free, never me
So I dub thee unforgiven

They dedicate their lives to running all of his
He tries to please them all, this bitter man he is
Throughout his life the same, he's battled constantly
This fight he cannot win
A tired man they see no longer cares
The old man then prepares to die regretfully
That old man here is me, yeah

What I've felt, what I've known
Never shined through in what I've shown
Never be, never see
Won't see what might have been
What I've felt, what I've known
Never shined through in what I've shown
Never free, never me
So I dub thee unforgiven


What I've felt, what I've known
Never shined through in what I've shown
Never be, never see
Won't see what might have been
What I've felt, what I've known
Never shined through in what I've shown
Never free, never me
So I dub thee unforgiven
Woah-oh, woah

Never free, never me
So I dub thee unforgiven
You labeled me, I'll label you
So I dub thee unforgiven
Never free, never me
So I dub thee unforgiven
You labeled me, I'll label you
So I dub thee unforgiven
Never free, never me
So I dub thee unforgiven"
Sad But True,Metallica,Inglês,"Música: Sad But True
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

Hey (Hey), I'm your life
I'm the one who takes you there
Hey (Hey), I'm your life
I'm the one who cares
They (They), they betray
I'm your only true friend now
They (They), they'll betray
I'm forever there

I'm your dream, make you real
I'm your eyes when you must steal
I'm your pain when you can't feel
Sad but true
I'm your dream, mind astray
I'm your eyes while you're away
I'm your pain while you repay
You know it's sad but true
Sad but true

You (You), you're my mask
You're my cover, my shelter
You (You), you're my mask
You're the one who's blamed
Do (Do), do my work
Do my dirty work, scapegoat
Do (Do), do my deeds
For you're the one who's shamed

I'm your dream, make you real
I'm your eyes when you must steal
I'm your pain when you can't feel
Sad but true
I'm your dream, mind astray
I'm your eyes while you're away
I'm your pain while you repay
You know it's sad but true
Sad but true


I'm your dream
I'm your eyes
I'm your pain
I'm your dream (I'm your dream)
I'm your eyes (I'm your eyes)
I'm your pain (I'm your pain)
You know it's sad but true


Hate (Hate), I'm your hate
I'm your hate when you want love
Pay (Pay), pay the price
Pay for nothing's fair
Hey (Hey), I'm your life
I'm the one who took you there
Hey (Hey), I'm your life
And I no longer care

I'm your dream, make you real
I'm your eyes when you must steal
I'm your pain when you can't feel
Sad but true
I'm your truth, telling lies
I'm your reasoned alibis
I'm inside, open your eyes
I'm you
Sad but true"
For Whom the Bell Tolls,Metallica,Inglês,"Música: For Whom the Bell Tolls
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

Make his fight, on the hill, in the early day
Constant chill deep inside
Shouting gun, on they run, through the endless grey
On they fight, for they’re right, yes, but who's to say?
For a hill, men would kill, why? They do not know
Stiffened wounds test their pride
Men of five, still alive, through the raging glow
Gone insane from the pain that they surely know

For whom the bell tolls
Time marches on
For whom the bell tolls


Take a look to the sky just before you die
It's the last time he will
Blackened roar, massive roar, fills the crumbling sky
Shattered goal fills his soul with a ruthless cry
Stranger now are his eyes to this mystery
Hears the silence so loud
Crack of dawn, all is gone, except the will to be
Now they see what will be, blinded eyes to see

For whom the bell tolls
Time marches on
For whom the bell tolls"
Fade to Black,Metallica,Inglês,"Música: Fade to Black
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

Life, it seems, will fade away
Drifting further every day
Getting lost within myself
Nothing matters, no one else
I have lost the will to live
Simply nothing more to give
There is nothing more for me
Need the end to set me free


Things not what they used to be
Missing one inside of me
Deathly lost, this can't be real
Cannot stand this hell I feel
Emptiness is filling me
To the point of agony
Growing darkness taking dawn
I was me, but now he's gone


No one but me can save myself, but it's too late
Now I can't think, think why I should even try
Yesterday seems as though it never existed
Death greets me warm, now I will just say goodbye
(Goodbye)"
Seek & Destroy,Metallica,Inglês,"Música: Seek & Destroy
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

Alright

We're scannin' the scene in the city tonight
We're lookin' for you to start up the fight
There's an evil feeling in our brains
But it's nothin' new, you know it drives us insane

Runnin', on our way
Hidin', you will pay
Dyin', one thousand deaths
Runnin', on our way
Hidin', you will pay
Dyin', one thousand deaths

Searchin', seek and destroy
Searchin', seek and destroy
Searchin', seek and destroy
Searchin', seek and destroy

There is no escape and that's for sure
This is the end, we won't take any more
Say goodbye to the world you live in
You always been takin' and now you're givin'

Runnin', on our way
Hidin', you will pay
Dyin', one thousand deaths
Runnin', on our way
Hidin', you will pay
Dyin', one thousand deaths

Searchin', seek and destroy
Searchin', seek and destroy
Searchin', seek and destroy
Searchin', seek and destroy




Our brains are on fire with the feelin' to kill
And it won't go away until our dreams are fulfilled
There is only one thing on our minds
Don't try runnin' away, 'cause you're the one we will find

Runnin', on our way
Hidin', you will pay
Dyin', one thousand deaths
Runnin', on our way
Hidin', you will pay
Dyin', one thousand deaths

Searchin', seek and destroy
Searchin', seek and destroy
Searchin', seek and destroy
Searchin', seek and destroy, aha-ha-ha-ha"
Whiskey in the Jar,Metallica,Inglês,"Música: Whiskey in the Jar
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

As I was goin' over the Cork and Kerry mountains
I saw Captain Farrell, and his money he was countin'
I first produced my pistol and then produced my rapier
I said, ""Stand and deliver, or the devil, he may take you"", yeah
I took all of his money, and it was a pretty penny
I took all of his money, yeah, and I brought it home to Molly
She swore that she loved me, no, never would she leave me
But the devil take that woman, yeah, for you know she tricked me easy

Musha ring um a do um a da
Whack for my daddy-o
Whack for my daddy-o
There's whiskey in the jar-o

Bein' drunk and weary, I went to Molly's chamber
Takin' money with me, but I never knew the danger
For about six or maybe seven, yeah, in walked Captain Farrell
I jumped up, fired off my pistols, and I shot him with both barrels, yeah

Musha ring um a do um a da
Whack for my daddy-o
Whack for my daddy-o
There's whiskey in the jar-o
Yeah-heh, whiskey in the jar-o


Ohh yeah yeah, woah-yo
Yeah, oh yeah

Now some men like the fishin', and some men like the fowlin'
And some men like to hear, to hear the cannonball a-roarin'
Me? I like sleepin', especially in Molly's chamber
But here I am in prison, here I am with a ball and chain, yeah

Musha ring um a do um a da, yeah, yeah
Whack for my daddy-o
Whack for my daddy-o
There's whiskey in the jar-o, yeah
Whiskey in the jar-o, yeah

Musha ring um a do um a da
Musha ring um a do um a da
Hey, musha ring um a do um a da
Musha ring um a do um a da, yeah"
Battery,Metallica,Inglês,"Música: Battery
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

Lashing out the action, returning the reaction
Weak are ripped and torn away
Hypnotizing power, crushing all that cower
Battery is here to stay

Smashing through the boundaries, lunacy has found me
Cannot stop the battery
Pounding out aggression, turns into obsession
Cannot kill the battery
Cannot kill the family, battery is found in me
Battery
Battery

Crushing all deceivers, mashing non-believers
Never-ending potency
Hungry violence-seeker, feeding off the weaker
Breeding on insanity

Smashing through the boundaries, lunacy has found me
Cannot stop the battery
Pounding out aggression, turns into obsession
Cannot kill the battery
Cannot kill the family, battery is found in me
Battery
Battery



Circle of destruction, hammer comes crushing
Powerhouse of energy
Whipping up a fury, dominating flurry
We create the battery

Smashing through the boundaries, lunacy has found me
Cannot stop the battery
Pounding out aggression, turns into obsession
Cannot kill the battery
Cannot kill the family, battery is found in me
Battery
Battery
Battery
Battery"
Creeping Death,Metallica,Inglês,"Música: Creeping Death
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

Slaves, Hebrews born to serve to the Pharaoh
Heed to his every word, live in fear
Faith of the unknown one, the deliverer
Wait, something must be done, four-hundred years

So let it be written, so let it be done
I'm sent here by the chosen one
So let it be written, so let it be done
To kill the first-born Pharaoh son
I'm creeping death

Now, let my people go, land of Goshen
Go, I will be with thee bush of fire
Blood, running red and strong down the Nile
Plague, darkness three days long, hail to fire

So let it be written, so let it be done
I'm sent here by the chosen one
So let it be written, so let it be done
To kill the first-born Pharaoh son
I'm creeping death


Die by my hand (
Die, die, die
)
I creep across the land (
Die, die
)
Killing first-born man (
Die, die, die
)
Die by my hand (
Die, die, die
)
I creep across the land (
Die, die
)
Killing first-born man (
Die, die, die
)

I rule the midnight air, the destroyer
Born, I shall soon be there, deadly mass
I creep the steps and floor, final darkness
Blood, lamb's blood-painted door I shall pass

So let it be written, so let it be done
I'm sent here by the chosen one
So let it be written, so let it be done
To kill the first-born Pharaoh son
I'm creeping death"
Welcome Home (Sanitarium),Metallica,Inglês,"Música: Welcome Home (Sanitarium)
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

Welcome to where time stands still
No one leaves, and no one will
Moon is full, never seems to change
Just labelled mentally deranged
Dream the same thing every night
I see our freedom in my sight
No locked doors, no windows barred
No things to make my brain seem scarred

Sleep my friend, and you will see
The dream is my reality
They keep me locked up in this cage
Can't they see it's why my brain says ""rage""?

Sanitarium
Leave me be
Sanitarium
Just leave me alone


Build my fear of what's out there
Cannot breathe the open air
Whisper things into my brain
Assuring me that I'm insane
They think our heads are in their hands
But violent use brings violent plans
Keep him tied, it makes him well
He's getting better, can't you tell?

No more can they keep us in
Listen, damn it, we will win
They see it right, they see it well
But they think this saves us from our hell

Sanitarium
Leave me be
Sanitarium
Just leave me alone

Sanitarium
(Just leave me alone)


Fear of living on
Natives getting restless now
Mutiny in the air
Got some death to do
Mirror stares back hard
Kill, it's such a friendly word
Seems the only way
For reaching out again"
...And Justice for All,Metallica,Inglês,"Música: ...And Justice for All
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

Halls of justice painted green, money talking
Power wolves beset your door, hear them stalking
Soon you'll please their appetite, they devour
Hammer of justice crushes you, overpower

The ultimate in vanity
Exploiting their supremacy
I can't believe the things you say
I can't believe, I can't believe the price
You pay, nothing can save you

Justice is lost, justice is raped, justice is gone
Pulling your strings, justice is done
Seeking no truth, winning is all
Find it so grim, so true, so real

Apathy their stepping stone, so unfeeling
Hidden deep animosity, so deceiving
Through your eyes their light burns, hoping to find
Inquisition sinking you with prying minds

The ultimate in vanity
Exploiting their supremacy
I can't believe the things you say
I can't believe, I can't believe the price
You pay, nothing can save you

Justice is lost, justice is raped, justice is gone
Pulling your strings, justice is done
Seeking no truth, winning is all
Find it so grim, so true, so real



Lady Justice has been raped, truth assassin
Rolls of red tape seal your lips, now you're done in
Their money tips her scales again, make your deal
Just what is truth? I cannot tell, cannot feel

The ultimate in vanity
Exploiting their supremacy
I can't believe the things you say
I can't believe, I can't believe the price
We pay, nothing can save us

Justice is lost, justice is raped, justice is gone
Pulling your strings, justice is done
Seeking no truth, winning is all
Find it so grim, so true, so real

Seeking no truth, winning is all
Find it so grim, so true, so real"
The Day That Never Comes,Metallica,Inglês,"Música: The Day That Never Comes
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

Born to push you around
Better just stay down
You pull away, he hits the flesh, you hit the ground
Mouth so full of lies
Tend to black your eyes
Just keep them closed, keep prayin', just keep waitin'

Waitin' for the one
The day that never comes
When you stand up and feel the warmth
But the sunshine never comes, no
No, the sunshine never comes

Push you cross that line
Just stay down this time
Hide in yourself, crawl in yourself, you'll have your time
God, I'll make them pay
Take it back one day
I'll end this day, I'll splatter color on this gray

Waitin' for the one
The day that never comes
When you stand up and feel the warmth
But the sunshine never comes


Love is a four letter word
And never spoken here
Love is a four letter word
Here in this prison
I suffer this no longer
I'll put an end to this, I swear
This, I swear, the son will shine
This, I swear, this, I swear
This, I swear"
Fuel,Metallica,Inglês,"Música: Fuel
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

Gimme fuel, gimme fire, gimme that which I desire, ooh

Yeah
Turn on, I see red
Adrenaline crash and crack my head
Nitro junkie, paint me dead
And I see red
A hundred plus through black and white
War horse, warhead
Fuck 'em man, white-knuckle tight
Through black and white

Ooh, on I burn
Fuel is pumping engines
Burning hard, loose and clean
And on I burn
Churning my direction
Quench my thirst with gasoline

So gimme fuel, gimme fire, gimme that which I desire
Yeah

Turn on beyond the bone
Swallow future, spit out home
Burn your face upon the chrome
Yeah, oh, yeah
Take the corner, join the crash-ah
Headlights (Head on), headlines
Another junkie lives too fast
Yeah, lives way too fast (Fast)
Fast (Fast), fast (Fast), oh-oh

Ooh, on I burn
Fuel is pumping engines
Burning hard, loose and clean
And on I burn
Churning my direction
Quench my thirst with gasoline

So gimme fuel, gimme fire, gimme that which I desire
Ooh, yeah-hey


White knuckle tight


Give me fuel (On I burn, on and on)
Give me fire (On I burn, on and on)
My desire (On I burn, on and on)

Ooh, on I burn
Fuel is pumping engines
Burning hard, loose and clean
And on and on
Churning my direction
Quench my thirst with gasoline

Gimme fuel, gimme fire, gimme that which I desire, ooh

On I burn"
King Nothing,Metallica,Inglês,"Música: King Nothing
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

Wish I may, wish I might have this I wish tonight
Are you satisfied?
Dig for gold, dig for fame, you dig to make your name
Are you pacified?

All the wants you waste
All the things you've chased

Then it all crashes down and you break your crown
And you point your finger, but there's no one around
Just want one thing, just to play the king
But the castle's crumbled, and you're left with just a name
Where's your crown, King Nothing?
Where's your crown?

Hot and cold, bought and sold, a heart as hard as gold
Yeah, are you satisfied?
Wish I might, wish I may, you wish your life away
Are you pacified?

All the wants you waste
All the things you've chased

Then it all crashes down and you break your crown
And you point your finger, but there's no one around
Just want one thing, just to play the king, a-ha
But the castle's crumbled, and you're left with just a name
Where's your crown, King Nothing?
Oh, nothin'
Oh, where's your crown?

Huh

I wish I may, I wish I might
Have this wish I wish tonight
I want that star, I want it now
I want it all and I don't care how
Careful what you wish
Careful what you say
Careful what you wish, you may regret it
Careful what you wish, you just might get it

Then it all crashes down and you break your crown
And you point your finger, but there's no one around
Just want one thing, just to play the king
But the castle's crumbled, and you're left with just a name
Where's your crown, King Nothing?

Nothin'
No, you're just nothin'
Where's your crown, King Nothing?
No, you're just nothin'
Absolutely nothin'
Off to never-never land"
Wherever I May Roam,Metallica,Inglês,"Música: Wherever I May Roam
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

And the road becomes my bride
And the road becomes my bride
I have stripped of all but pride
So in her I do confide
And she keeps me satisfied
Gives me all I need
And with dust in throat I crave
Only knowledge will I save
To the game you stay a slave

Rover, wanderer, nomad, vagabond
Call me what you will, yeah

Oh, but I'll take my time anywhere
Free to speak my mind anywhere
And I'll redefine anywhere
Anywhere I roam
Where I lay my head is home, yeah

And the Earth becomes my throne
And the Earth becomes my throne
I adapt to the unknown
Under wandering stars I've grown
By myself but not alone
I ask no one
And my ties are severed clean
The less I have, the more I gain
Off the beaten path I reign

Rover, wanderer, nomad, vagabond
Call me what you will
Yeah, you will

But I'll take my time anywhere
I'm free to speak my mind anywhere
And I'll never mind anywhere
Anywhere I roam
Where I lay my head is home, yeah-yeah


But I'll take my time anywhere
I'm free to speak my mind
And I'll take my find anywhere
Anywhere I roam
Where I lay my head is home, that's right


(Yeah)
But I'll take my time anywhere
I'm free to speak my mind anywhere
And I'll redefine anywhere
Anywhere I roam
Where I lay my head is home

Carved upon my stone
My body lies, but still I roam, yeah-yeah

Wherever I may roam
Wherever I may roam, roam
Wherever I may roam
Wherever I may roam, yeah
Wherever I may wander, wander, wander
Wherever I may roam
Yeah-yeah, wherever I may roam
Yeah-yeah, wherever I may roam
Wherever I may roam
Wherever I may roam
Wherever I may roam"
St. Anger,Metallica,Inglês,"Música: St. Anger
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

Saint Anger 'round my neck
Saint Anger 'round my neck
He never gets respect
Saint Anger 'round my neck

(You flush it out, you flush it out) Saint Anger 'round my neck
(You flush it out, you flush it out) He never gets respect
(You flush it out, you flush it out) Saint Anger 'round my neck
(You flush it out, you flush it out) He never gets respect

Fuck it all and no regrets
I hit the lights on these dark sets
I need a voice to let myself
To let myself go free
Fuck it all and fuckin' no regrets
I hit the lights on these dark sets
Medallion noose, I hang myself
Saint Anger 'round my neck

I feel my world shake
Like an earthquake
Hard to see clear
Is it me? Is it fear?
I'm madly in anger with you
I'm madly in anger with you
I'm madly in anger with you
I'm madly in anger with you


Saint Anger 'round my neck
Saint Anger 'round my neck
He never gets respect
Saint Anger 'round my neck

(You flush it out, you flush it out) Saint Anger 'round my neck
(You flush it out, you flush it out) He never gets respect
(You flush it out, you flush it out) Saint Anger 'round my neck
(You flush it out, you flush it out) He never gets respect
Ooh

Fuck it all and no regrets
I hit the lights on these dark sets
I need a voice to let myself
To let myself go free
Fuck it all and fuckin' no regrets
I hit the lights on these dark sets
Medallion noose, I hang myself
Saint Anger 'round my neck

I feel my world shake
Like an earthquake
Hard to see clear
Is it me? Is it fear?
I'm madly in anger with you
I'm madly in anger with you
I'm madly in anger with you
I'm madly in anger with you


And I want my anger to be healthy
And I want my anger just for me
And I need my anger not to control
Yeah, and I want my anger to be me
And I need to set my anger free
And I need to set my anger free
And I need to set my anger free
And I need to set my anger free
Set it free

Fuck it all and no regrets
I hit the lights on these dark sets
I need a voice to let myself
To let myself go free
Fuck it all and fuckin' no regrets
I hit the lights on these dark sets
Medallion noose, I hang myself
Saint Anger 'round my neck

I feel my world shake
Like an earthquake
Hard to see clear
Is it me? Is it fear?
I'm madly in anger with you
I'm madly in anger with you
I'm madly in anger with you
I'm madly in anger with you

I'm madly in anger with you
I'm madly in anger with you
I'm madly in anger with you
I'm madly in anger with you"
Hardwired,Metallica,Inglês,"Música: Hardwired
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

In the name of desperation
In the name of wretched pain
In the name of all creation, gone insane

We're so fucked, shit outta luck
Hardwired to self-destruct
Go

On the way to paranoia
On the crooked borderline
On the way to the great destroyer, doomed design

We're so fucked, shit outta luck
Hardwired to self-destruct
Oh


Once upon a planet burning, once upon a flame
Once upon a fear returning all in vain
Do you feel that hope is fading? Do you comprehend?
Do you feel it terminating in the end?

We're so fucked, shit outta luck
Hardwired to self-destruct
Hardwired to self-destruct

Self-destruct
Self-destruct
Self-destruct"
Pais e Filhos,Legião Urbana,Português,"Música: Pais e Filhos
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

Estátuas e cofres e paredes pintadas
Ninguém sabe o que aconteceu, hmm
Ela se jogou da janela do quinto andar
Nada é fácil de entender
Dorme agora, hmm
É só o vento lá fora
Quero colo, vou fugir de casa
Posso dormir aqui com vocês?
Estou com medo, tive um pesadelo
Só vou voltar depois das três
Meu filho vai ter nome de santo
Quero o nome mais bonito

É preciso amar as pessoas
Como se não houvesse amanhã
Porque se você parar pra pensar
Na verdade, não há

Me diz, por que que o céu é azul?
Explica a grande fúria do mundo
São meus filhos que tomam conta de mim, hmm
Eu moro com a minha mãe
Mas meu pai vem me visitar, hmm
Eu moro na rua, não tenho ninguém
Eu moro em qualquer lugar
Já morei em tanta casa
Que nem me lembro mais
Eu moro com meus pais
Hmm, hmm, woah, woah

É preciso amar as pessoas
Como se não houvesse amanhã
Porque se você parar pra pensar
Na verdade, não há

Sou uma gota d'água
Sou um grão de areia
Você me diz que seus pais não entendem
Mas você não entende seus pais
Você culpa seus pais por tudo, isso é absurdo
São crianças como você
O que você vai ser quando você crescer?"
Faroeste Caboclo,Legião Urbana,Português,"Música: Faroeste Caboclo
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

""Não tinha medo, o tal João de Santo Cristo""
Era o que todos diziam quando ele se perdeu
Deixou pra trás todo o marasmo da fazenda
Só pra sentir no seu sangue o ódio que Jesus lhe deu
Quando criança, só pensava em ser bandido
Ainda mais quando, com um tiro de soldado, o pai morreu
Era o terror da cercania onde morava
E na escola, até o professor com ele aprendeu
Ia pra igreja só pra roubar o dinheiro
Que as velhinhas colocavam na caixinha do altar
Sentia mesmo que era mesmo diferente
Sentia que aquilo ali não era o seu lugar
Ele queria sair para ver o mar
E as coisas que ele via na televisão
Juntou dinheiro para poder viajar
De escolha própria, escolheu a solidão
Comia todas as menininhas da cidade
De tanto brincar de médico, aos doze era professor
Aos quinze, foi mandado pro reformatório
Onde aumentou seu ódio diante de tanto terror
Não entendia como a vida funcionava
Discriminação por causa da sua classe, sua cor
Ficou cansado de tentar achar resposta
E comprou uma passagem, foi direto a Salvador
E lá chegando, foi tomar um cafézinho
E encontrou um boiadeiro com quem foi falar
E o boiadeiro tinha uma passagem e ia perder a viagem
Mas João foi lhe salvar
Dizia ele: ""Estou indo pra Brasília
Nesse país, lugar melhor não há
Tô precisando visitar a minha filha
Eu fico aqui, você vai no meu lugar""
E João aceitou sua proposta
E num ônibus entrou no Planalto Central
Ele ficou bestificado com a cidade
Saindo da rodoviária, viu as luzes de Natal
""Meu Deus, mas que cidade linda
No Ano Novo, eu começo a trabalhar""
Cortar madeira, aprendiz de carpinteiro
Ganhava cem mil por mês em Taguatinga
Na sexta-feira ia pra zona da cidade
Gastar todo o seu dinheiro de rapaz trabalhador
E conhecia muita gente interessante
Até um neto bastardo do seu bisavô
Um peruano que vivia na Bolívia
E muitas coisas trazia de lá
Seu nome era Pablo e ele dizia
Que um negócio, ele ia começar
E Santo Cristo até a morte trabalhava
Mas o dinheiro não dava pra ele se alimentar
E ouvia, às sete horas, o noticiário
Que sempre dizia que o seu ministro ia ajudar
Mas ele não queria mais conversa
E decidiu que, como Pablo, ele iria se virar
Elaborou, mais uma vez, seu plano santo
Sem ser crucificado, a plantação foi começar
Logo logo os maluco da cidade souberam da novidade
""Tem bagulho bom aí""
E João de Santo Cristo ficou rico
E acabou com todos os traficantes dali
Fez amigos, frequentava a Asa Norte
E ia pra festa de rock pra se libertar
Mas de repente, sob uma má influência dos boyzinho da cidade
Começou a roubar
Já no primeiro roubo ele dançou
E pro inferno ele foi pela primeira vez
Violência e estupro do seu corpo
""Vocês vão ver, eu vou pegar vocês""

Agora o Santo Cristo era bandido
Destemido e temido no Distrito Federal
Não tinha nenhum medo de polícia
Capitão ou traficante, playboy ou general
Foi quando conheceu uma menina
E, de todos os seus pecados, ele se arrependeu
Maria Lúcia era uma menina linda
E o coração dele pra ela o Santo Cristo prometeu
Ele dizia que queria se casar
E carpinteiro ele voltou a ser
""Maria Lúcia, pra sempre vou te amar
E um filho com você eu quero ter""

O tempo passa e um dia vem na porta
Um senhor de alta classe com dinheiro na mão
E ele faz uma proposta indecorosa
E diz que espera uma resposta, uma resposta de João
""Não boto bomba em banca de jornal
Nem em colégio de criança, isso eu não faço, não
E não protejo general de dez estrelas
Que fica atrás da mesa com o cu na mão
E é melhor senhor sair da minha casa
Nunca brinque com um Peixes de ascendente Escorpião""
Mas antes de sair, com ódio no olhar, o velho disse
""Você perdeu sua vida, meu irmão""
""Você perdeu a sua vida, meu irmão""
""Você perdeu a sua vida, meu irmão""
Essas palavras vão entrar no coração
Eu vou sofrer as consequências como um cão
Não é que o Santo Cristo estava certo
Seu futuro era incerto e ele não foi trabalhar
Se embebedou e no meio da bebedeira
Descobriu que tinha outro trabalhando em seu lugar
Falou com Pablo que queria um parceiro
E também tinha dinheiro e queria se armar
Pablo trazia o contrabando da Bolívia
E Santo Cristo revendia em Planaltina

Mas acontece que um tal de Jeremias
Traficante de renome, apareceu por lá
Ficou sabendo dos planos de Santo Cristo
E decidiu que, com João, ele ia acabar
Mas Pablo trouxe uma Winchester-22
E Santo Cristo já sabia atirar
E decidiu usar a arma só depois
Que Jeremias começasse a brigar
Jeremias, maconheiro, sem-vergonha
Organizou a Rockonha, fez todo mundo dançar
Desvirginava mocinhas inocentes
E dizia que era crente, mas não sabia rezar
E Santo Cristo há muito não ia pra casa
E a saudade começou a apertar
""Eu vou me embora, eu vou ver Maria Lúcia
Já tá em tempo de a gente se casar""
Chegando em casa, então, ele chorou
E, pro inferno, ele foi pela segunda vez
Com Maria Lúcia, Jeremias se casou
E um filho nela ele fez (Ah)

Santo Cristo era só ódio por dentro
E então o Jeremias pra um duelo ele chamou
""Amanhã às duas horas na Ceilândia
Em frente ao lote 14, é pra lá que eu vou
E você pode escolher as suas armas
Que eu acabo mesmo com você, seu porco traidor
E mato também Maria Lúcia
Aquela menina falsa pra quem jurei o meu amor""
E Santo Cristo não sabia o que fazer
Quando viu o repórter da televisão
Que deu notícia do duelo na TV
Dizendo a hora e o local e a razão
No sábado, então, às duas horas
Todo o povo sem demora foi lá só para assistir
Um homem que atirava pelas costas
E acertou o Santo Cristo, começou a sorrir
Sentindo o sangue na garganta
João olhou pras bandeirinhas e pro povo a aplaudir
E olhou pro sorveteiro e pras câmeras
E a gente da TV que filmava tudo ali
E se lembrou de quando era uma criança
E de tudo o que vivera até ali
E decidiu entrar de vez naquela dança
""Se a via-crucis virou circo, estou aqui""
E nisso, o sol cegou seus olhos
E então Maria Lúcia ele reconheceu
Ela trazia a Winchester-22
A arma que seu primo Pablo lhe deu

""Jeremias, eu sou homem, coisa que você não é
E não atiro pelas costas, não
Olha pra cá, filha da puta sem vergonha
Dá uma olhada no meu sangue e vem sentir o teu perdão""
E Santo Cristo com a Winchester-22
Deu cinco tiros no bandido traidor
Maria Lúcia se arrependeu depois
E morreu junto com João, seu protetor
E o povo declarava que João de Santo Cristo
Era santo porque sabia morrer
E a alta burguesia da cidade
Não acreditou na história que eles viram na TV
E João não conseguiu o que queria
Quando veio pra Brasília, com o diabo ter
Ele queria era falar pro presidente
Pra ajudar toda essa gente que só faz
Sofrer"
Tempo Perdido,Legião Urbana,Português,"Música: Tempo Perdido
Artista: Legião Urbana
Fonte: Genius.com
--------------------------------------------------

Todos os dias, quando acordo
Não tenho mais o tempo que passou
Mas tenho muito tempo
Temos todo o tempo do mundo
Todos os dias, antes de dormir
Lembro e esqueço como foi o dia
Sempre em frente
Não temos tempo a perder
Nosso suor sagrado
É bem mais belo que esse sangue amargo

E tão sério e selvagem
Selvagem, selvagem

Veja o sol dessa manhã tão cinza
A tempestade que chega é da cor dos teus olhos castanhos
Então me abraça forte
Me diz mais uma vez que já estamos distantes de tudo

Temos nosso próprio tempo
Temos nosso próprio tempo
Temos nosso próprio tempo

Não tenho medo do escuro
Mas deixe as luzes acesas agora
O que foi escondido é o que se escondeu
E o que foi prometido, ninguém prometeu
Nem foi tempo perdido

Somos tão jovens
Tão jovens, tão jovens"
